grt,period
671.205669,1060
644.368918,1061
665.840641,1062
686.688774,1063
695.470771,1064
674.718141,1065
659.456032,1066
679.233256,1067
670.591036,1068
714.127859,1069
644.983872,1070
704.382266,1071
646.918840,1072
683.613700,1073
672.161756,1074
662.916074,1075
645.724115,1076
657.514110,1077
676.929573,1078
675.800614,1079
649.267123,1080
659.395965,1081
675.823050,1082
656.579880,1083
642.423764,1084
672.780906,1085
677.208232,1086
670.019058,1087
670.562603,1088
638.953161,1089
674.513023,1090
691.587818,1091
650.100775,1092
664.537121,1093
670.231144,1094
667.544673,1095
726.651780,1096
696.465855,1097
661.370427,1098
706.358856,1099
690.061605,1100
711.105374,1101
679.548305,1102
666.424443,1103
677.435369,1104
687.611383,1105
680.535490,1106
662.220898,1107
679.185098,1108
646.306810,1109
670.762565,1110
695.555157,1111
667.070571,1112
685.173936,1113
631.774078,1114
663.822148,1115
666.764076,1116
676.932594,1117
695.028610,1118
659.512544,1119
683.392193,1120
673.903354,1121
677.321524,1122
719.487350,1123
655.685533,1124
659.026279,1125
659.955372,1126
665.051985,1127
678.585903,1128
680.864559,1129
685.987383,1130
681.451018,1131
636.920398,1132
666.824893,1133
677.191183,1134
648.321180,1135
662.947980,1136
704.412219,1137
648.141924,1138
661.120647,1139
668.018193,1140
676.928006,1141
679.322064,1142
656.192794,1143
672.356081,1144
689.819198,1145
706.886337,1146
668.853540,1147
755.914297,1148
677.597017,1149
679.855164,1150
681.503483,1151
670.093086,1152
639.127958,1153
666.848291,1154
673.961588,1155
676.221895,1156
690.835058,1157
656.325315,1158
651.506510,1159
672.293891,1160
707.227874,1161
670.134430,1162
646.297368,1163
673.625149,1164
663.375081,1165
670.372947,1166
697.735682,1167
660.498021,1168
685.254113,1169
691.047910,1170
648.690438,1171
689.961583,1172
660.369259,1173
682.776749,1174
672.911298,1175
669.196424,1176
675.737909,1177
673.753887,1178
673.346572,1179
681.578370,1180
630.639445,1181
666.211923,1182
675.909186,1183
675.873803,1184
676.833999,1185
686.390403,1186
663.111355,1187
691.554448,1188
684.770761,1189
676.925843,1190
650.957974,1191
638.738342,1192
674.460754,1193
659.680996,1194
663.767650,1195
682.127641,1196
675.924425,1197
658.682812,1198
665.095164,1199
672.024798,1200
616.160754,1201
677.814445,1202
698.272762,1203
679.909695,1204
684.848058,1205
683.072834,1206
662.505664,1207
713.246823,1208
688.298731,1209
657.057310,1210
661.430696,1211
662.448861,1212
683.955231,1213
692.672679,1214
645.179562,1215
703.518229,1216
669.413812,1217
654.983630,1218
680.849585,1219
681.602921,1220
699.315531,1221
663.615839,1222
691.665549,1223
646.252603,1224
681.211746,1225
643.005752,1226
706.440933,1227
670.805885,1228
700.941147,1229
693.723523,1230
664.382335,1231
668.428701,1232
669.659229,1233
703.443717,1234
671.643626,1235
664.917843,1236
677.413940,1237
657.421863,1238
690.686720,1239
650.834379,1240
646.206560,1241
677.601071,1242
677.534508,1243
671.540510,1244
663.434844,1245
687.487632,1246
648.009593,1247
666.889759,1248
635.818720,1249
659.148236,1250
